Tick;Step;Energy;Government_announce_date;Human_gain_by_age;Immune;Infected;Initial_infected_rate;obedient;Obey_ratio;Rule;Ticks;Vulnerable_class_ratio;0_Position;1_Position;ID
0;0;21;96;10;False;False;1;False;60;;0;30;10.0;51.0;1d4dd26a-65d1-4f90-9a48-7fb1ee8f4bb0
0;0;22;96;10;False;False;1;False;60;;0;30;93.0;71.0;1c2a39fd-5b46-4dc3-9c13-98ae90692fd5
0;0;16;96;10;False;False;1;False;60;;0;30;99.0;89.0;f02c8bb5-c9f5-45dc-b5e5-37bd48f916f0
0;0;21;96;10;False;False;1;False;60;;0;30;14.0;2.0;62cdcaaf-7032-4e29-8a08-da51cf421c86
0;0;19;96;10;False;False;1;False;60;;0;30;66.0;45.0;7c280712-e2e6-4a5a-8b75-146831648358
0;0;16;96;10;False;False;1;False;60;;0;30;41.0;79.0;c0e36381-4ffa-4a2f-ab3d-8cf21052eb26
0;0;16;96;10;False;False;1;False;60;;0;30;53.0;0.0;0a0ba363-bfdd-4136-8171-2c960d40a11a
0;0;5;96;10;False;False;1;False;60;;0;30;11.0;90.0;47230bb3-ffd3-44c2-a69c-d4c48fff9b9d
0;0;20;96;10;False;False;1;False;60;;0;30;87.0;23.0;17e38f6e-5446-472d-8639-ffeb8a37e8c2
0;0;0;96;10;False;False;1;False;60;;0;30;66.0;49.0;6733d07d-8c9f-4989-a0cf-c88c96de8dd5
0;0;22;96;10;False;False;1;False;60;;0;30;47.0;92.0;5b3c7780-c1ab-40f7-9793-d7b26f36b2ca
0;0;20;96;10;False;False;1;False;60;;0;30;45.0;86.0;50dd7cf7-1a8a-4cd3-a29a-bd2139a14d87
0;0;9;96;10;False;False;1;False;60;;0;30;76.0;89.0;cda578f4-a550-4c12-a7f6-5619e5fe295a
0;0;5;96;10;False;False;1;False;60;;0;30;6.0;24.0;0178d2c8-f8ae-4a6f-afa7-2516df947a84
0;0;21;96;10;False;False;1;False;60;;0;30;36.0;20.0;ce1ad1fd-b156-4ade-8a5b-83ed47cdfacc
0;0;1;96;10;False;False;1;False;60;;0;30;89.0;15.0;25efdcd7-75ec-4a06-ae0e-ba70c5b4fd03
0;0;20;96;10;False;False;1;False;60;;0;30;62.0;99.0;dc74edc6-ed3f-4db6-96c8-684f8220c754
0;0;16;96;10;False;False;1;False;60;;0;30;82.0;91.0;344d5e0f-0473-424c-af50-35100e455343
0;0;5;96;10;False;False;1;False;60;;0;30;12.0;91.0;b2d77974-05f3-47f7-9905-97396b72b2b4
0;0;6;96;10;False;False;1;False;60;;0;30;47.0;39.0;d1860669-1b48-4126-9ac9-7e701c1a061f
0;0;21;96;10;False;False;1;False;60;;0;30;54.0;38.0;461e489a-b9c2-40a2-860a-2610026e06c1
0;0;8;96;10;False;False;1;False;60;;0;30;94.0;19.0;ee6df248-f190-4740-85a2-6d3cf6180dc2
0;0;0;96;10;False;False;1;False;60;;0;30;42.0;58.0;a6fe9cdb-6c8a-4635-833f-91086de35b79
0;0;1;96;10;False;False;1;False;60;;0;30;20.0;7.0;bcba1e86-cc49-4e39-8901-7b5fcf810929
0;0;22;96;10;False;False;1;False;60;;0;30;79.0;92.0;67f993dd-70b8-40dc-99f7-b3c8ad4adef1
0;0;19;96;10;False;False;1;False;60;;0;30;38.0;57.0;71392889-6799-4f52-8a60-4e81e78e4603
0;0;15;96;10;False;False;1;False;60;;0;30;74.0;33.0;04c5e787-edec-445d-a75e-56e6c641b7ca
0;0;18;96;10;False;False;1;False;60;;0;30;54.0;56.0;6c78026b-d10f-4daf-8aff-22cea89f4c50
0;0;23;96;10;False;False;1;False;60;;0;30;60.0;49.0;5cf46d4a-5d55-4828-a9a0-a88a1e6056aa
0;0;24;96;10;False;False;1;False;60;;0;30;30.0;31.0;ac560e52-fca3-4c06-bab0-54b33b6c14e4
0;0;15;96;10;False;False;1;False;60;;0;30;30.0;74.0;255a7d23-a6f0-49e3-bcc1-82d8394725c1
0;0;24;96;10;False;False;1;False;60;;0;30;3.0;80.0;0dd8f98e-bdf0-4fcb-9c9a-ba7d8708bc3c
0;0;19;96;10;False;False;1;False;60;;0;30;23.0;94.0;b283136d-a47f-4682-8d7f-25508bda4cea
0;0;6;96;10;False;False;1;False;60;;0;30;37.0;94.0;0fc4f712-cc90-4e4b-96ae-25feb6410435
0;0;4;96;10;False;False;1;False;60;;0;30;64.0;15.0;205619b8-a248-4383-aeeb-4cb5f5dfaed0
0;0;7;96;10;False;False;1;False;60;;0;30;23.0;64.0;b9354dc9-d288-4ea3-bf75-732a63e95969
0;0;6;96;10;False;False;1;False;60;;0;30;43.0;68.0;780f6f93-d31b-44c3-ac78-4132a08bb8b5
0;0;4;96;10;False;False;1;False;60;;0;30;87.0;37.0;ce64f7a1-ef21-499b-b6c9-f50537a8e418
0;0;4;96;10;False;False;1;False;60;;0;30;22.0;97.0;37debf39-191c-49d4-98f7-d5b93dd94dfd
0;0;18;96;10;False;False;1;False;60;;0;30;51.0;67.0;e20abf55-71df-4c7e-86b6-442fc59683e4
0;0;9;96;10;False;False;1;False;60;;0;30;8.0;26.0;d685653d-d776-417b-93b9-52097f4927f2
0;0;18;96;10;False;False;1;False;60;;0;30;46.0;27.0;8617bbc5-082c-470c-a4b8-6bd3af1e9819
0;0;19;96;10;False;False;1;False;60;;0;30;49.0;50.0;22b1b1e4-6098-4abe-9cf8-a20208b15cbd
0;0;22;96;10;False;False;1;False;60;;0;30;17.0;58.0;7645360b-1937-40cb-867f-8baeb389c467
0;0;5;96;10;False;False;1;False;60;;0;30;96.0;78.0;e72f8f0b-9d88-44dd-af29-18ceee29257a
0;0;21;96;10;False;False;1;False;60;;0;30;6.0;62.0;4bc20554-9673-472d-9f24-48bbcfb198f1
0;0;1;96;10;False;False;1;False;60;;0;30;8.0;10.0;9d0a5508-950b-49d6-9bd1-4ec6f2570480
0;0;17;96;10;False;False;1;False;60;;0;30;14.0;65.0;e8c6624a-6106-43a9-9d99-b5224c4e6651
0;0;2;96;10;False;False;1;False;60;;0;30;62.0;1.0;615cf6c3-9b49-4e78-b7f6-2a4e8a19e848
0;0;23;96;10;False;False;1;False;60;;0;30;82.0;68.0;e15054eb-02d9-4d61-a2bf-e6dc654fc0b7
0;0;18;96;10;False;False;1;False;60;;0;30;86.0;10.0;03308b4e-736d-4823-bd97-bd1ca554c26a
0;0;18;96;10;False;False;1;False;60;;0;30;95.0;52.0;7458f82e-4217-4ada-b9c8-646e3c2f858f
0;0;3;96;10;False;False;1;False;60;;0;30;0.0;15.0;dfbf37ec-80d6-437a-856d-a8460bb232f5
0;0;15;96;10;False;False;1;False;60;;0;30;52.0;95.0;464563e3-07ea-440f-808c-f5e3c9e85346
0;0;18;96;10;False;False;1;False;60;;0;30;69.0;86.0;fa8d04ad-d6eb-447d-845c-b28029a4d0f0
0;0;21;96;10;False;False;1;False;60;;0;30;0.0;4.0;b0763e20-7815-4e4c-8cfd-6f866b470b48
0;0;8;96;10;False;False;1;False;60;;0;30;3.0;43.0;883d5107-544e-4e89-ab32-6d15717af322
0;0;18;96;10;False;False;1;False;60;;0;30;91.0;46.0;e5c2a01c-ccff-4a2d-bb5b-470a32bbb9e6
0;0;15;96;10;False;False;1;False;60;;0;30;98.0;69.0;5963980c-c860-46ea-82f5-eb7254a18161
0;0;24;96;10;False;False;1;False;60;;0;30;47.0;33.0;d75ddaff-5efb-48fd-8bcd-1da9c4714c5a
0;0;23;96;10;False;False;1;False;60;;0;30;26.0;91.0;c62bcce8-51c8-4f58-82e2-8bc5fd9ba842
0;0;23;96;10;False;False;1;False;60;;0;30;45.0;4.0;5002a2b1-e1c9-4c74-b594-9d18e475f165
0;0;7;96;10;False;False;1;False;60;;0;30;49.0;62.0;5510de52-7c69-4de8-8dba-cb636f594fc1
0;0;5;96;10;False;False;1;False;60;;0;30;4.0;9.0;e30a13fc-f2e5-4fe3-95bb-84197117b36c
